CP/DL/AG,ESTADO,LTA Nº/ANO/OM,EMBARCAÇÃO,DATA DO INCIDENTE,LOCALIZAÇÃO,"VOLUME DERRAMADO 
(em litros)",TIPO DE ÓLEO MÃE,PAÍS DE BANDEIRA,Nº DE INSCRIÇÃO OU N° IMO,INFRATOR,"NÍVEL DE
IMPACTO
AMBIENTAL","CAUSA DO
INCIDENTE","Valor da Multa
(1º instância)","Número do
Auto de infração","Andamento do
processo no SISAUTO",,Legenda,
CPM,RJ,-,SKANDI VITÓRIA,24/01/2023,BACIA DE CAMPOS,4,Fluído Hidráulico,Brasil,3813876535,SKANDI VITÓRIA,1,2,"1.000,00 a 50.000.000,00",387P2023000283,AI lavrado,,,
CPM,RJ,-,SAPURA ESMERALDA,16/03/2023,BACIA DE CAMPOS,"0,39",Fluído Hidráulico,Brasil,3813901891,SAPURA navegação maritima s/a,1,2,"1.000,00 a 50.000.000,00",387P2023000445,AI lavrado,,Classificação de Impacto Ambiental - Conversão Escala de Adjetivo para Numérica,
CPM,RJ,-,CBO WAVE,07/03/2023,BACIA DE CAMPOS,"5,5",Fluído Hidráulico,Brasil,381E012221,CBO Serviços marítimos s/a,1,2,"1.000,00 a 50.000.000,00",387P2023000526,AI lavrado,,Escala de Adjetivo,Escala Numérica
CPM,RJ,-,CBO WAVE,14/03/2023,BACIA DE CAMPOS,"4,38",Fluído Hidráulico,Brasil,381E012221,CBO Serviços marítimos s/a,1,2,"1.000,00 a 50.000.000,00",387P2023000534,AI lavrado,,Impacto ambiental gravíssimo,6
CPM,RJ,-,PARCEL DOS REIS,13/05/2023,BACIA DE CAMPOS,"0,3",Fluído Hidráulico,Brasil,381E012123,OCEANPACT SERVIÇOS MARÍTIMOS S.A,1,2,"1.000,00 a 50.000.000,00",387P2023000852,AI lavrado,,Impacto ambiental muito grave,5
CPM,RJ,-,PARCEL DOS REIS,16/05/2023,BACIA DE CAMPOS,"0,1",Fluído Hidráulico,Brasil,381E012123,OCEANPACT SERVIÇOS MARÍTIMOS S.A,1,2,"1.000,00 a 50.000.000,00",387P2023000861,AI lavrado,,Impacto ambiental grave,4
CPM,RJ,-,SKANDI URCA,10/06/2023,PORTO DE IMBETIBA,"0,3",Fluído Hidráulico,Brasil,3813894193,NORSKAN OFFSHORE LTDA,1,2,"1.000,00 a 50.000.000,00",387P2023000879,AI lavrado,,Impacto ambiental moderado,3
CPM,RJ,-,SKANDI RECIFE,20/06/2023,BACIA DE CAMPOS,"1,036",Óleo hidráulico,Brasil,3813910555,DOFCON NAVEGAÇÃO LTDA,2,2,"1.000,00 a 50.000.000,00",387P2023000887,AI lavrado,,Impacto ambiental pouco grave,2
CPM ,RJ,-,SAPURA RUBI,29/07/2023,BACIA DE CAMPOS,"0,0006",Fluído Hidráulico,Brasil,381E010911,PETROLEO BRASILEIRO S/A,1,2,"1.000,00 a 50.000.000,00",387P2023001531,AI lavrado,,Impacto ambiental de pequena relevância,1
CPM,RJ,-,SAPURA ESMARALDA,29/07/2023,BACIA DE CAMPOS,"0,9",Fluído Hidráulico,Brasil,3813901891,SAPURA navegação maritima s/a,1,2,"1.000,00 a 50,000,000,00",387P2023001549,AI lavrado,,,
